Name,Thickness,Camber
fx61147,0.147658,0.031527
fx61163,0.16361,0.025457
fx61168,0.168128,0.029694
fx61184,0.183655,0.030366
fx62k131,0.130909,0.03878
fx62k153,0.152744,0.040616
fx63100,0.099655,0.043469
fx63110,0.110392,0.043464
fx63120,0.120244,0.052286
fx63137,0.137128,0.059505
fx63137sm,0.136898,0.058485
fx63143,0.143178,0.030897
fx63145,0.144755,0.040273
fx63147,0.147563,0.031334
fx63158,0.158223,0.037453
fx6617a2,0.182129,0.037871
fx6617ai,0.188439,0.037172
fx66182,0.182128,0.03787
fx66196v,0.195687,0.039955
fx66a175,0.17539,0.041502
fx66s161,0.161268,0.039055
fx66s171,0.171158,0.038787
fx66s196,0.196475,0.03758
fx67k150,0.14993,0.048219
fx67k170,0.170242,0.050496
fx69h083,0.084138,0.024584
fx69h098,0.098901,0.017518
fx71089a,0.089402,6e-05
fx71120,0.11986,3.3e-05
fx711520,0.150046,-0.000975
fx711525,0.150046,-0.001073
fx71l150,0.150046,-0.000974
fx72150a,0.150274,0.082965
fx72150b,0.150277,0.097609
fx74cl5140,0.1405,0.098028
fx74modsm,0.130885,0.097289
fx76mp140,0.141089,0.070737
fx76mp160sm,0.161561,0.060546
fx77w153,0.152515,0.044829
fx77w258,0.261424,0.038722
fx77w343,0.343727,0.041607
fx79k144,0.143912,0.027762
fxl142k,0.142017,0.000157
fxlv152,0.152972,0.000206
fxm2,0.083988,0.047098
fxs02196,0.195872,0.037276
fxs03182,0.182213,0.028499
fxs21158,0.157867,0.034931
geminism,0.153825,0.022009
giiia,0.110246,0.007505
giiib,0.104628,0.008153
giiic,0.099362,0.00923
giiid,0.097126,0.00981
giiie,0.087874,0.011898
giiif,0.082611,0.013047
giiig,0.082905,0.013015
giiih,0.083393,0.012996
giiii,0.084542,0.013312
giiij,0.085038,0.01397
giiik,0.085366,0.015044
giiil,0.085462,0.015812
giiim,0.085154,0.018806
giiin,0.08448,0.021048
gm15sm,0.067394,0.047627
goe05k,0.037034,0.015414
goe06k,0.075032,0.031139
goe07k,0.110031,0.045633
goe08k,0.148577,0.061507
goe09k,0.024508,0.009128
goe100,0.066086,0.036106
goe101,0.069097,0.040078
goe10k,0.038533,0.014348
goe113,0.066669,0.030667
goe114,0.095953,0.035065
goe115,0.098238,0.037913
goe116,0.094084,0.04124
goe117,0.090113,0.045849
goe118,0.086563,0.057316
goe11k,0.074574,0.027637
goe121,0.066508,0.046211
goe122,0.074267,0.040786
goe123,0.054042,0.056899
goe124,0.079873,0.055624
goe12k,0.111073,0.04116
goe133,0.079009,0.043059
goe134,0.09451,0.039773
goe137,0.0861,0.044696
goe13k,0.148118,0.054921
goe14,0.09944,0.069461
goe140,0.088428,0.053066
goe142,0.061633,0.038539
goe143,0.075106,0.038191
goe144,0.073152,0.047722
goe147,0.075555,0.037822
goe14k,0.120018,0.027224
goe15,0.090053,0.077652
goe155,0.070213,0.052994
goe15k,0.15001,0.034042
goe164,0.088881,0.066412
goe165,0.122605,0.057598
goe167,0.101415,0.046172
goe16k,0.181477,0.041172
goe173,0.077901,0.059247
goe174,0.086007,0.055827
goe176,0.103386,0.055671
goe177,0.077306,0.050548
goe178,0.085719,0.04415
goe180,0.086822,0.044478
goe182,0.094646,0.052722
goe184,0.083549,0.053029
goe187,0.082876,0.048402
goe188,0.089467,0.04306
goe190,0.128007,0.059304
goe195,0.086034,0.050817
goe198,0.078085,0.065315
goe199,0.07333,0.052174
goe207,0.088072,0.066623
goe210,0.06644,0.043429
goe217,0.191606,0.06311
goe222,0.186078,0.072375
goe223,0.188987,0.057315
goe225,0.12985,0.076387
goe226,0.140642,0.080726
goe227,0.145955,0.07779
goe228,0.179795,0.070047
goe229,0.194191,0.059405
goe233,0.116886,0.082075
goe234,0.143678,0.091827
goe235,0.065519,0.035691
goe238,0.098135,0.055717
